NEVO-code,food_group_en,food_name_en,food_group_nl,food_name_nl,remark_nl,synonym_nl,food_group_no,food_name_no,food_group_de,food_name_de,food_group_es,food_name_es,food_group_el,food_name_el,food_group_it,food_name_it,food_group_pl,food_name_pl,food_group_sl,food_name_sl
17,Vegetables,Mushrooms chanterelle raw,Groente,Cantharel rauw,,,Grønnsaker,Sopp kantarell rå,Gemüse,"Pilze, Pfifferlinge, roh",Verduras,Setas de chanterelle crudas,Λαχανικά,Μανιτάρια κανθαρέλλες ωμά,Verdure,Funghi finferli crudi,Warzywa,Grzyby kurki surowe,Zelenjava,Gobe lisičke surove
18,Vegetables,Mushrooms chanterelle boiled,Groente,Cantharel gekookt,,,Grønnsaker,"Kantareller, kokte",Gemüse,"Pilze, Pfifferlinge, gekocht",Verduras,Setas de chanterelle hervidas,Λαχανικά,Μανιτάρια κανθαρέλλες βρασμένα,Verdure,Funghi finferli bolliti,Warzywa,Grzyby kurki gotowane,Zelenjava,"Gobe lisičke, kuhane"
19,Vegetables,Mushroom raw,Groente,Champignon rauw,,,Grønnsaker,"Sopp, rå",Gemüse,"Pilze, roh",Verduras,Setas crudas,Λαχανικά,Μανιτάρι ωμό,Verdure,Funghi crudi,Warzywa,Grzyby surowe,Zelenjava,Gobe surove
20,Vegetables,Mushroom boiled,Groente,Champignon gekookt,,,Grønnsaker,Kokt sopp,Gemüse,Gekochte Pilze,Verduras,Setas hervidas,Λαχανικά,Μανιτάρια βρασμένα,Verdure,Funghi lessati,Warzywa,Grzyby gotowane,Zelenjava,Kuhane gobe
21,Vegetables,Cabbage Chinese raw,Groente,Kool Chinese rauw,,,Grønnsaker,"Kinesisk kål, rå",Gemüse,"Chinakohl, roh",Verduras,Col china cruda,Λαχανικά,Κινέζικο λάχανο ωμό,Verdure,Cavolo cinese crudo,Warzywa,Kapusta pekińska surowa,Zelenjava,"Kitajsko zelje, surovo"
22,Vegetables,Cabbage Chinese boiled,Groente,Kool Chinese gekookt,,,Grønnsaker,"Kinesisk kål, kokt",Gemüse,"Chinakohl, gekocht",Verduras,Col china hervida,Λαχανικά,Κινέζικο λάχανο βρασμένο,Verdure,Cavolo cinese bollito,Warzywa,Kapusta pekińska gotowana,Zelenjava,"Kitajsko zelje, kuhano"
23,Vegetables,Peas raw,Groente,Doperwten rauw,,,Grønnsaker,"Erter, rå",Gemüse,"Erbsen, roh",Verduras,Guisantes crudos,Λαχανικά,Μπιζέλια ωμά,Verdure,Piselli crudi,Warzywa,Groch surowy,Zelenjava,Surov grah
24,Vegetables,Cabbage green raw,Groente,Kool groene rauw,,Kool savooie rauw,Grønnsaker,"Grønn kål, rå",Gemüse,"Grünkohl, roh",Verduras,Col verde cruda,Λαχανικά,Πράσινο λάχανο ωμό,Verdure,Cavolo verde crudo,Warzywa,Kapusta zielona surowa,Zelenjava,Zelena surova zelja
25,Vegetables,Cabbage green boiled,Groente,Kool groene gekookt,,Kool savooie gekookt,Grønnsaker,"Grønn kål, kokt",Gemüse,"Grünkohl, gekocht",Verduras,Col verde hervida,Λαχανικά,Πράσινο λάχανο βρασμένο,Verdure,Cavolo verde bollito,Warzywa,Kapusta zielona gotowana,Zelenjava,"Zelena zelja, kuhana"
26,Vegetables,Celeriac boiled,Groente,Selderij knol- gekookt,,Knolselderij gekookt,Grønnsaker,Kokt knollselleri,Gemüse,"Knollensellerie, gekocht",Verduras,Apio nabo hervido,Λαχανικά,Βρασμένο σελινόριζα,Verdure,Sedano rapa bollito,Warzywa,Selera korzeniowa gotowana,Zelenjava,Kuhani celer
27,Vegetables,Cucumber wo skin raw,Groente,Komkommer z schil rauw,,,Grønnsaker,"Agurk uten skall, rå",Gemüse,"Gurke ohne Schale, roh",Verduras,Pepino crudo sin piel,Λαχανικά,"Αγγούρι χωρίς φλούδα, ωμό",Verdure,Cetriolo crudo con buccia,Warzywa,Ogórek surowy bez skórki,Zelenjava,"Kumara brez lupine, surova"
28,Vegetables,Cucumber boiled,Groente,Komkommer gekookt,Zonder schil.,,Grønnsaker,Kokt agurk,Gemüse,Gekochte Gurke,Verduras,Pepino hervido,Λαχανικά,Αγγούρι βρασμένο,Verdure,Cetriolo bollito,Warzywa,Ogórek gotowany,Zelenjava,Kuhana kumara
29,Vegetables,Swede boiled,Groente,Koolraap gekookt,,,Grønnsaker,Kokt kålrot,Gemüse,Gekochte Steckrübe,Verduras,Colinabo hervido,Λαχανικά,Βρασμένο γογγύλι,Verdure,Rapa bollita,Warzywa,Gotowana brukiew,Zelenjava,Kuhana rumena repa
30,Vegetables,Kohlrabi boiled,Groente,Koolrabi gekookt,,,Grønnsaker,"Kålrabi, kokt",Gemüse,Gekochter Kohlrabi,Verduras,Colinabo hervido,Λαχανικά,Βρασμένο κολοράπι,Verdure,Cavolo rapa bollito,Warzywa,Kalarepa gotowana,Zelenjava,"Kohlrabi, kuhan"
31,Vegetables,Sweet pepper green raw,Groente,Paprika groene rauw,,Paprika groen rauw,Grønnsaker,"Grønn paprika, rå",Gemüse,"Grüne Paprika, roh",Verduras,Pimiento verde crudo,Λαχανικά,Πράσινη γλυκιά πιπεριά ωμή,Verdure,Peperone verde crudo,Warzywa,Papryka zielona surowa,Zelenjava,"Zelena sladka paprika, surova"
32,Vegetables,Sweet pepper green boiled,Groente,Paprika groene gekookt,,Paprika groen gekookt,Grønnsaker,"Grønn paprika, kokt",Gemüse,"Grüne Paprika, gekocht",Verduras,Pimiento verde hervido,Λαχανικά,Πράσινη γλυκιά πιπεριά βρασμένη,Verdure,Peperone verde bollito,Warzywa,Papryka zielona gotowana,Zelenjava,"Zelena sladka paprika, kuhana"
33,Fruits,Raisins dried,Fruit,Rozijnen gedroogd,,,Frukt,Tørkede rosiner,Obst,Getrocknete Rosinen,Frutas,Pasas secas,Φρούτα,Σταφίδες αποξηραμένες,Frutta,Uvetta secca,Owoce,Rodzynki suszone,Sadje,Suhe rozine
35,Vegetables,Mange-tout raw,Groente,Peultjes rauw,,,Grønnsaker,Mange-tout rå,Gemüse,"Zuckerschoten, roh",Verduras,Tiras de guisantes crudas,Λαχανικά,Μαντζέ-του ωμό,Verdure,Mange-tout crudo,Warzywa,Groch cukrowy surowy,Zelenjava,Mange-tout surovo
36,Vegetables,Purslane boiled,Groente,Postelein gekookt,,,Grønnsaker,Kokt portulak,Gemüse,Gekochter Portulak,Verduras,Verdolaga hervida,Λαχανικά,Βρασμένο γλιστρίδα,Verdure,Portulaca bollita,Warzywa,Portulaka gotowana,Zelenjava,Kuhana portulaka
37,Vegetables,Leek boiled,Groente,Prei gekookt,,,Grønnsaker,Kokt purre,Gemüse,Gekochter Lauch,Verduras,Puerro hervido,Λαχανικά,Βρασμένο πράσο,Verdure,Porro bollito,Warzywa,Por gotowany,Zelenjava,Kuhani por
38,Vegetables,Turnip tops raw,Groente,Raapstelen rauw,,,Grønnsaker,Rå kålrotblader,Gemüse,"Rübengrün, roh",Verduras,Hojas de nabo crudas,Λαχανικά,Φύλλα γογγυλιού ωμά,Verdure,Cime di rapa crude,Warzywa,Liście rzepy surowe,Zelenjava,Surovi listi repe
39,Vegetables,Turnip tops boiled,Groente,Raapstelen gekookt,,,Grønnsaker,Kokte nepe-blader,Gemüse,Gekochte Rübengrün,Verduras,Hojas de nabo hervidas,Λαχανικά,Βρασμένα φύλλα γογγυλιού,Verdure,Cime di rapa bollite,Warzywa,Gotowane liście rzepy,Zelenjava,Kuhani listi repe
40,Vegetables,Rhubarb raw,Groente,Rabarber rauw,,,Grønnsaker,"Rabarbra, rå",Gemüse,"Rhabarber, roh",Verduras,Ruibarbo crudo,Λαχανικά,Ραβέντι ωμό,Verdure,Rabarbaro crudo,Warzywa,Rabarbar surowy,Zelenjava,Surova rabarbara
41,Vegetables,Cabbage red raw,Groente,Kool rode rauw,,,Grønnsaker,"Rødkål, rå",Gemüse,"Roter Kohl, roh",Verduras,Col roja cruda,Λαχανικά,Κόκκινο λάχανο ωμό,Verdure,Cavolo rosso crudo,Warzywa,Kapusta czerwona surowa,Zelenjava,"Rdeče zelje, surovo"
42,Vegetables,Cabbage red boiled,Groente,Kool rode gekookt,,,Grønnsaker,"Rødkål, kokt",Gemüse,"Roter Kohl, gekocht",Verduras,Col roja hervida,Λαχανικά,Κόκκινο λάχανο βρασμένο,Verdure,Cavolo rosso bollito,Warzywa,Kapusta czerwona gotowana,Zelenjava,"Rdeče zelje, kuhano"
45,Vegetables,Salsify raw,Groente,Schorseneren rauw,,,Grønnsaker,Salsify rå,Gemüse,"Schwarzwurzel, roh",Verduras,Salsifí cruda,Λαχανικά,Σαλσιφί ωμό,Verdure,Salsifiga cruda,Warzywa,Salsify surowe,Zelenjava,Salsify surov
46,Vegetables,Lettuce butterhead raw,Groente,Sla krop- rauw,,Kropsla/botersla rauw,Grønnsaker,"Salat, smørhode, rå",Gemüse,"Butterkopfsalat, roh",Verduras,Lechuga mantecosa cruda,Λαχανικά,Μαρούλι butterhead ωμό,Verdure,Lattuga butterhead cruda,Warzywa,Sałata masłowa surowa,Zelenjava,"Solata glavasta, surova"
47,Vegetables,Lettuce butterhead boiled,Groente,Sla krop- gekookt,,Kropsla/botersla gekookt,Grønnsaker,Kokt smørsalat,Gemüse,"Kopfsalat, gekocht",Verduras,Lechuga mantecosa hervida,Λαχανικά,Μαρούλι βουτυρόκοπτο βρασμένο,Verdure,Lattuga butterhead bollita,Warzywa,Sałata masłowa gotowana,Zelenjava,Kuhana glava solate
48,Vegetables,Swiss chard leaf boiled,Groente,Snijbiet gekookt,,,Grønnsaker,Kokte blad av mangold,Gemüse,Gekochte Mangoldblätter,Verduras,Hojas de acelga hervidas,Λαχανικά,Φύλλα σέσκουλου βρασμένα,Verdure,Foglie di bietola cotte,Warzywa,Liście boćwiny gotowane,Zelenjava,Kuhani listi švicarskega mangolda
49,Vegetables,Beans runner raw,Groente,Bonen snij- rauw,,Snijbonen rauw,Grønnsaker,"Bønner, stamme, rå",Gemüse,"Bohnen, Stangenbohnen, roh",Verduras,Judías de ramo crudas,Λαχανικά,Φασόλια «runner» ωμά,Verdure,Fagioli rampicanti crudi,Warzywa,Fasola szparagowa surowa,Zelenjava,"Fižol, strnjen, surov"
50,Vegetables,Beans French raw,Groente,Bonen sperzie- rauw,,Sperziebonen/haricots verts rauw,Grønnsaker,"Bønner, franske, rå",Gemüse,"Bohnen, französisch, roh",Verduras,Alubias francesas crudas,Λαχανικά,Φασόλια γαλλικά ωμά,Verdure,Fagioli francesi crudi,Warzywa,Fasola francuska surowa,Zelenjava,Fižol francoski surov
51,Vegetables,Spinach raw,Groente,Spinazie rauw,,,Grønnsaker,"Spinat, rå",Gemüse,"Spinat, roh",Verduras,Espinacas crudas,Λαχανικά,Σπανάκι ωμό,Verdure,Spinaci crudi,Warzywa,Szpinak surowy,Zelenjava,Surova špinača
52,Vegetables,Spinach boiled,Groente,Spinazie gekookt,,,Grønnsaker,Kokt spinat,Gemüse,Gekochter Spinat,Verduras,Espinacas hervidas,Λαχανικά,Σπανάκι βρασμένο,Verdure,Spinaci lessati,Warzywa,Szpinak gotowany,Zelenjava,Kuhana špinača
53,Vegetables,Cabbage oxheart raw,Groente,Kool spits- rauw,,Spitskool rauw,Grønnsaker,Rå oksehjertekål,Gemüse,"Oxheart-Kohl, roh",Verduras,Col de corazón de buey cruda,Λαχανικά,Λάχανο καρδιά ωμό,Verdure,Cavolo cuore di bue crudo,Warzywa,Kapusta sercowata surowa,Zelenjava,Surovo zelje vrste »oxheart«
54,Vegetables,Cabbage oxheart boiled,Groente,Kool spits- gekookt,,Spitskool gekookt,Grønnsaker,"Kål, oksehjerte, kokt",Gemüse,"Oxheart-Kohl, gekocht",Verduras,Col de corazón de buey hervida,Λαχανικά,Λάχανο «oxheart» βρασμένο,Verdure,Cavolo a cuore di bue bollito,Warzywa,Kapusta sercowata gotowana,Zelenjava,Kuhano zelje vrste »oxheart«
55,Vegetables,Brussel sprouts boiled,Groente,Spruitjes gekookt,,,Grønnsaker,Kokte rosenkål,Gemüse,Gekochter Rosenkohl,Verduras,Coles de Bruselas hervidas,Λαχανικά,Βρασμένα λαχανάκια Βρυξελλών,Verdure,Cavoletti di Bruxelles bolliti,Warzywa,Brukselka gotowana,Zelenjava,Kuhani bruseljski ohrovt
57,Vegetables,Sweetcorn boiled,Groente,Mais suiker- gekookt,,Suikermais gekookt,Grønnsaker,Kokt sukkermais,Gemüse,Gekochter Zuckermais,Verduras,Maíz dulce hervido,Λαχανικά,Βρασμένο γλυκό καλαμπόκι,Verdure,Mais dolce bollito,Warzywa,Kukurydza cukrowa gotowana,Zelenjava,Kuhana sladka koruza
58,Vegetables,Bean sprouts raw,Groente,Tauge rauw,,,Grønnsaker,"Bønnespirer, rå",Gemüse,"Sojasprossen, roh",Verduras,Brotes de soja crudos,Λαχανικά,Φύτρα φασολιών ωμά,Verdure,Germogli di fagioli crudi,Warzywa,Kiełki fasoli surowe,Zelenjava,Surovi fižolovi kalčki
59,Vegetables,Bean sprouts boiled,Groente,Tauge gekookt,,,Grønnsaker,Kokte bønnespirer,Gemüse,Gekochte Sojasprossen,Verduras,Brotes de soja hervidos,Λαχανικά,Βλαστοί φασολιών βρασμένοι,Verdure,Germogli di fagioli lessati,Warzywa,Gotowane kiełki fasoli,Zelenjava,Kuhani fižolovi kalčki
60,Vegetables,Tomatoes classic round raw,Groente,Tomaat gewoon rauw,,Tomaten gewoon rauw,Grønnsaker,"Tomater, klassiske, runde, rå",Gemüse,"Tomaten, klassisch rund, roh",Verduras,Tomates redondos clásicos crudos,Λαχανικά,Ντομάτες κλασικές στρογγυλές ωμές,Verdure,Pomodori classici rotondi crudi,Warzywa,Pomidory klasyczne okrągłe surowe,Zelenjava,"Paradižniki, klasični okrogli, surovi"
61,Vegetables,Tomatoes classic round boiled,Groente,Tomaat gewoon gekookt,,Tomaten gewoon gekookt,Grønnsaker,Klassiske runde kokte tomater,Gemüse,"Klassische runde Tomaten, gekocht",Verduras,Tomates redondos clásicos hervidos,Λαχανικά,Κλασικές στρογγυλές ντομάτες βρασμένες,Verdure,Pomodori classici rotondi lessati,Warzywa,Pomidory klasyczne okrągłe gotowane,Zelenjava,Klasični okrogli kuhani paradižniki
62,Vegetables,Beans broad raw,Groente,Bonen tuin- rauw,,Tuinbonen rauw,Grønnsaker,"Bønner, brede, rå",Gemüse,"Breite Bohnen, roh",Verduras,Alubias grandes crudas,Λαχανικά,Φασόλια πλατιά ωμά,Verdure,Fagioli larghi crudi,Warzywa,Fasola szeroka surowa,Zelenjava,"Fižol, širokolistni, surov"
63,Vegetables,Onions raw,Groente,Ui rauw,,Uien rauw,Grønnsaker,Rå løk,Gemüse,Rohzwiebeln,Verduras,Cebollas crudas,Λαχανικά,Κρεμμύδια ωμά,Verdure,Cipolle crude,Warzywa,Cebula surowa,Zelenjava,Surova čebula
64,Vegetables,Onions boiled,Groente,Ui gekookt,,Uien gekookt,Grønnsaker,Kokte løk,Gemüse,Gekochte Zwiebeln,Verduras,Cebollas hervidas,Λαχανικά,Βρασμένα κρεμμύδια,Verdure,Cipolle bollite,Warzywa,Cebula gotowana,Zelenjava,Kuhana čebula
65,Vegetables,Lettuce lambs raw,Groente,Sla veld- rauw,,Veldsla rauw,Grønnsaker,"Salat, lam, rå",Gemüse,Lammfleisch roh,Verduras,"Lechuga, cordero, crudos",Λαχανικά,Μαρούλια αρνιών ωμά,Verdure,"Lattuga, agnelli, crudi",Warzywa,"Sałata, jagnięcina, surowe",Zelenjava,Surova jagnjetina z zeljem
67,Vegetables,Chicory raw,Groente,Witlof rauw,,Brussels lof rauw,Grønnsaker,Rå sikori,Gemüse,"Chicorée, roh",Verduras,Achicoria cruda,Λαχανικά,Κιχώριο ωμό,Verdure,Cicoria cruda,Warzywa,Cykoria surowa,Zelenjava,Surova cikorija
68,Vegetables,Chicory boiled,Groente,Witlof gekookt,,Brussels lof gekookt,Grønnsaker,Kokt sikori,Gemüse,Gekochter Chicorée,Verduras,Achicoria hervida,Λαχανικά,Βρασμένο κιχώριο,Verdure,Cicoria bollita,Warzywa,Cykoria gotowana,Zelenjava,Kuhana cikorija
69,Vegetables,Cabbage white raw,Groente,Kool witte rauw,,,Grønnsaker,"Kålhvit, rå",Gemüse,"Kohlweiß, roh",Verduras,Col blanca cruda,Λαχανικά,Λευκό λάχανο ωμό,Verdure,Cavolo bianco crudo,Warzywa,Kapusta biała surowa,Zelenjava,Surova belica
70,Vegetables,Cabbage white cooked,Groente,Kool witte gekookt,,,Grønnsaker,"Kålhvit, kokt",Gemüse,"Kohlweiß, gekocht",Verduras,Col blanca cocida,Λαχανικά,Λευκό λάχανο μαγειρεμένο,Verdure,Cavolo bianco cotto,Warzywa,Kapusta biała gotowana,Zelenjava,Kuhano belo zelje
71,Vegetables,Carrot raw av,Groente,Wortel rauw gem,,,Grønnsaker,Rå gulrot av,Gemüse,Karotte roh av,Verduras,Zanahoria cruda av,Λαχανικά,Καρότο ωμό av,Verdure,Carota cruda av,Warzywa,Marchew surowa av,Zelenjava,Surova korenina av
72,Vegetables,Carrot boiled av,Groente,Wortel gekookt gem,,,Grønnsaker,Kokt gulrot av,Gemüse,Gekochte Möhre av,Verduras,Zanahoria hervida av,Λαχανικά,Καρότο βρασμένο av,Verdure,Carota bollita av,Warzywa,Marchew gotowana av,Zelenjava,Kuhana korenina av
73,Vegetables,Cabbage sauerkraut raw,Groente,Kool zuur- rauw,,Zuurkool rauw,Grønnsaker,Rå surkål,Gemüse,"Sauerkraut, roh",Verduras,Chucrut de col crudo,Λαχανικά,Λάχανο τουρσί ωμό,Verdure,Cavolo cappuccio crudo (crauti),Warzywa,Kapusta kiszona surowa,Zelenjava,Surova kisla zelja
74,Vegetables,Cabbage sauerkraut cooked,Groente,Kool zuur- gekookt,,Zuurkool gekookt,Grønnsaker,"Kål, surkål, kokt",Gemüse,Gekochtes Sauerkraut,Verduras,Chucrut de col cocido,Λαχανικά,Λάχανο τουρσί μαγειρεμένο,Verdure,Crauti di cavolo cotti,Warzywa,Kapusta kiszona gotowana,Zelenjava,Kuhana kisla zelja
75,Vegetables,Vegetable mix for soup raw,Groente,Groente soep- rauw,,Soepgroente rauw,Grønnsaker,"Grønnsaksblanding til suppe, rå",Gemüse,"Gemüsemischung für Suppe, roh",Verduras,"Mezcla de verduras para sopa, crudas",Λαχανικά,"Μείγμα λαχανικών για σούπα, ωμό",Verdure,"Miscela di verdure per zuppa, crude",Warzywa,Mieszanka warzyw do zupy – surowa,Zelenjava,"Mešanica zelenjave za juho, surova"
80,Cereal products and types of flour,Flour rice,Graanproducten en meelsoorten,Bloem rijste-,,Rijstebloem,Kornprodukter og meltyper,Mel ris,Getreideprodukte und Mehlsorten,Reismehl,Productos de cereales y tipos de harina,Harina de arroz,Προϊόντα δημητριακών και είδη αλεύρων,Ρύζι αλεύρι,Prodotti a base di cereali e tipi di farina,Farina di riso,Produkty zbożowe i rodzaje mąki,Mąka ryżowa,Žitni izdelki in vrste moke,Riževa moka
83,Eggs,Egg whole chicken av raw,Eieren,Ei kippen- rauw gem,,Kippeneieren rauw,Egg,"Hele kyllingegg, rå",Eier,"Ei, ganzes Huhn, roh",Huevos,Huevo de gallina entero crudo,Αυγά,"Ολόκληρο αυγό κοτόπουλου, ακατέργαστο",Uova,Uovo intero di pollo crudo,Jaja,Jajko kurze całe surowe,Jajca,"Jajce, celo piščančje, surovo"
84,Eggs,Egg whole chicken av boiled,Eieren,Ei kippen- gekookt gem,,Kippeneieren gekookt,Egg,"Hele kyllingegg, kokt",Eier,"Ei, ganzes Huhn, gekocht",Huevos,"Huevo de gallina entero, hervido",Αυγά,"Ολόκληρο αυγό κοτόπουλου, βρασμένο",Uova,Uovo intero di pollo bollito,Jaja,"Jajko kurze całe, gotowane",Jajca,"Jajce, celo piščančje, kuhano"
85,Eggs,Egg yolk chicken raw,Eieren,Eidooier kippen- rauw,,Kippeneidooier rauw,Egg,Rå kyllingeggeplomme,Eier,"Hühner-Eigelb, roh",Huevos,Yema de huevo de gallina cruda,Αυγά,Κρόκος αυγού κοτόπουλου ωμός,Uova,Tuorlo d’uovo di gallina crudo,Jaja,Żółtko jaja kurzego surowe,Jajca,"Piščančji jajčni rumenjak, surov"
86,Eggs,Egg yolk chicken boiled,Eieren,Eidooier kippen- gekookt,,Kippeneidooier gekookt,Egg,Kokt kyllingeggeplomme,Eier,"Hühnereigelb, gekocht",Huevos,Yema de huevo de gallina hervida,Αυγά,Κρόκος αυγού κοτόπουλου βρασμένος,Uova,Tuorlo d’uovo di gallina bollito,Jaja,Żółtko jaja kurzego gotowane,Jajca,Kuhano piščančje jajčno rumenjake
87,Eggs,Egg powder chicken,Eieren,Eipoeder kippen-,,Kippeneipoeder,Egg,Eggpulver fra kylling,Eier,Hühnerei-Pulver,Huevos,Huevo en polvo de pollo,Αυγά,Σκόνη αυγού κοτόπουλου,Uova,Uova in polvere di pollo,Jaja,Jajko w proszku z kurczaka,Jajca,Jajčni prah iz piščančjih jajc
95,Meat and poultry,Horse meat raw,Vlees en gevogelte,Paardenvlees rauw,"Gem van paardenbiefstuk, -rosbief, -lappen.",,Kjøtt og fjærfe,"Hestekjøtt, rått",Fleisch und Geflügel,"Pferdefleisch, roh",Carne y aves,Carne de caballo cruda,Κρέας και πουλερικά,Κρέας αλόγου ωμό,Carne e pollame,Carne di cavallo cruda,Mięso i drób,Surowe mięso końskie,Meso in perutnina,Surovo konjsko meso
