code,en,no,de,el,es,it,nl,pl,sl
A00BZ,Fruit pie-tarts,Fruktpaier og terter,Obstkuchen und -torten,Τάρτες φρούτων,Tartas de fruta,Crostate di frutta,Vruchtentaarten,Tarty owocowe,Sadne pite in tarte
A00CB,Marzipan pie,Marsipankake,Marzipankuchen,Τάρτα αμυγδάλου,Tarta de mazapán,Torta di marzapane,Marsepeintaart,Ciasto marcepanowe,Marcipanova pita
A00CC,Pastry based on laminated dough,Bakverk av butterdeig,Blätterteiggebäck,Προϊόντα σφολιάτας,Bollería de masa laminada,Prodotti di pasta sfoglia,Bladerdeeggebak,Wyroby z ciasta laminowanego,Pecivo iz listnatega testa
A00CF,Apple strudel,Eplestrudel,Apfelstrudel,Στρούντελ μήλου,Strudel de manzana,Strudel di mele,Appelstrudel,Strudel jabłkowy,Jabolčni zavitek
A00CH,Baklava,Baklava,Baklava,Μπακλαβάς,Baklava,Baklava,Baklava,Baklawa,Baklava
A00CL,Pancakes,Pannekaker,Pfannkuchen,Τηγανίτες,Tortitas,Frittelle,Pannenkoeken,Naleśniki,Palačinke
A00CN,Macaroons,Makroner,Makronen,Αμυγδαλωτά,Macarrones de almendra,Amaretti,Makronen,Makaroniki,Makroni
A00CP,Meringue,Marengs,Baiser,Μαρέγκα,Merengue,Meringa,Meringue,Beza,Beljakova pena
A00CQ,Waffles,Vafler,Waffeln,Βάφλες,Gofres,Waffel,Wafels,Gofry,Vaflji
A00CR,Spice cakes,Krydderkaker,Gewürzkuchen,Κέικ μπαχαρικών,Pasteles de especias,Torte speziate,Kruidkoek,Piernik,Začinjene torte
A00CY,Barley rolled grains,Byggflak,Gerstenflocken,Νιφάδες κριθαριού,Copos de cebada,Fiocchi d'orzo,Gerstevlokken,Płatki jęczmienne,Ječmenovi kosmiči
A00DC,"Popcorn (maize, popped)",Popkorn,Popcorn,Ποπ κορν,Palomitas de maíz,Popcorn,Popcorn,Popcorn,Pokovka
A00DD,Processed maize-based flakes,Maisflak,Maisflocken,Νιφάδες καλαμποκιού,Copos de maíz,Fiocchi di mais,Cornflakes,Płatki kukurydziane,Koruzni kosmiči
A00DH,Oat rolled grains,Havregryn,Haferflocken,Νιφάδες βρώμης,Copos de avena,Fiocchi d'avena,Havervlokken,Płatki owsiane,Ovseni kosmiči
A00DR,"Rice, popped",Pufset ris,Puffreis,Ρύζι φουσκωτό,Arroz inflado,Riso soffiato,Gepofte rijst,Ryż ekspandowany,Napihnjen riž
A00DV,Rye rolled grains,Rugflak,Roggenflocken,Νιφάδες σίκαλης,Copos de centeno,Fiocchi di segale,Roggevlokken,Płatki żytnie,Rženi kosmiči
A00EA,Spelt rolled grains,Speltflak,Dinkelflocken,Νιφάδες ντίνκελ,Copos de espelta,Fiocchi di farro,Speltvlokken,Płatki orkiszowe,Pirini kosmiči
A00EE,"Wheat, popped",Pufset hvete,Puffweizen,Σιτάρι φουσκωτό,Trigo inflado,Grano soffiato,Gepofte tarwe,Pszenica ekspandowana,Napihnjena pšenica
A00EF,Processed wheat-based flakes,Hveteflak,Weizenflocken,Νιφάδες σίτου,Copos de trigo,Fiocchi di frumento,Tarwevlokken,Płatki pszenne,Pšenični kosmiči
A00EJ,Muesli and similar mixed breakfast cereals,Müsli og lignende frokostblandinger,Müsli und ähnliche Frühstückscerealien,Μούσλι και παρόμοια δημητριακά πρωινού,Muesli y cereales de desayuno similares,Muesli e cereali da colazione simili,Muesli en soortgelijke ontbijtgranen,Musli i podobne płatki śniadaniowe,Musli in podobni zajtrkovi kosmiči
A00EM,Processed mixed cereal-based flakes,Blandede kornflak,Mehrkornflocken,Νιφάδες μεικτών δημητριακών,Copos de cereales mixtos,Fiocchi di cereali misti,Gemengde graanvlokken,Płatki wielozbożowe,Mešani žitni kosmiči
A00EN,"Porridge (in dry form, to be diluted)",Grøtpulver,Breipulver,Χυλός σε σκόνη,Papilla en polvo,Porridge in polvere,Papmix,Kaszka w proszku,Kaša v prahu
A00EY,Cereal bars,Kornbarer,Müsliriegel,Μπάρες δημητριακών,Barritas de cereales,Barrette ai cereali,Mueslirepen,Batony zbożowe,Žitne ploščice
A00FC,Corn chips,Maischips,Maischips,Τσιπς καλαμποκιού,Chips de maíz,Chips di mais,Maischips,Chipsy kukurydziane,Koruzni čips
A00FD,Tortilla chips,Tortillachips,Tortillachips,Τσιπς τορτίγιας,Nachos,Tortilla chips,Tortillachips,Chipsy tortilla,Tortilja čips
A00FE,Corn curls,Maissnacks,Erdnussflips,Γαριδάκια,Ganchitos de maíz,Snack di mais,Nibbits,Chrupki kukurydziane,Koruzni fliki
A00FF,Rice chips,Rischips,Reischips,Τσιπς ρυζιού,Chips de arroz,Chips di riso,Rijstchips,Chipsy ryżowe,Rižev čips
A00FH,Mixed cereal-based snacks,Blandede kornsnacks,Mehrkorn-Snacks,Σνακ μεικτών δημητριακών,Aperitivos de cereales mixtos,Snack a base di cereali misti,Gemengde graansnacks,Przekąski wielozbożowe,Mešani žitni prigrizki
A00FM,Broccoli and similar-,Brokkoli og lignende,Brokkoli und ähnliche,Μπρόκολο και παρόμοια,Brócoli y similares,Broccoli e simili,Broccoli en soortgelijke,Brokuły i podobne,Brokoli in podobno
A00FX,Head cabbages and similar-,Hodekål og lignende,Kopfkohl und ähnliche,Λάχανο και παρόμοια,Repollos y similares,Cavoli cappucci e simili,Sluitkool en soortgelijke,Kapusta głowiasta i podobne,Glavnato zelje in podobno
A00GF,Chinese cabbages and similar-,Kinakål og lignende,Chinakohl und ähnliche,Κινέζικο λάχανο και παρόμοια,Coles chinas y similares,Cavoli cinesi e simili,Chinese kool en soortgelijke,Kapusta pekińska i podobne,Kitajsko zelje in podobno
A00GL,Kales and similar-,Grønnkål og lignende,Grünkohl und ähnliche,Λαχανίδα και παρόμοια,Coles rizadas y similares,Cavoli ricci e simili,Boerenkool en soortgelijke,Jarmuż i podobne,Ohrovt in podobno
A00GY,Garlic and similar-,Hvitløk og lignende,Knoblauch und ähnliche,Σκόρδο και παρόμοια,Ajo y similares,Aglio e simili,Knoflook en soortgelijke,Czosnek i podobne,Česen in podobno
A00HB,Onions and similar-,Løk og lignende,Zwiebeln und ähnliche,Κρεμμύδι και παρόμοια,Cebollas y similares,Cipolle e simili,Uien en soortgelijke,Cebula i podobne,Čebula in podobno
A00HG,Spring onions and similar-,Vårløk og lignende,Frühlingszwiebeln und ähnliche,Φρέσκα κρεμμυδάκια και παρόμοια,Cebolletas y similares,Cipollotti e simili,Bosuien en soortgelijke,Cebula dymka i podobne,Spomladanska čebula in podobno
A00HQ,Tomatoes and similar-,Tomater og lignende,Tomaten und ähnliche,Ντομάτες και παρόμοια,Tomates y similares,Pomodori e simili,Tomaten en soortgelijke,Pomidory i podobne,Paradižnik in podobno
A00HZ,Peppers and similar-,Paprika og lignende,Paprika und ähnliche,Πιπεριές και παρόμοια,Pimientos y similares,Peperoni e simili,Paprika's en soortgelijke,Papryka i podobne,Paprika in podobno
A00JC,Aubergines and similar-,Auberginer og lignende,Auberginen und ähnliche,Μελιτζάνες και παρόμοια,Berenjenas y similares,Melanzane e simili,Aubergines en soortgelijke,Bakłażany i podobne,Jajčevci in podobno
A00JQ,Courgettes and similar-,Squash og lignende,Zucchini und ähnliche,Κολοκυθάκια και παρόμοια,Calabacines y similares,Zucchine e simili,Courgettes en soortgelijke,Cukinia i podobne,Bučke in podobno
A00KE,Melons and similar-,Meloner og lignende,Melonen und ähnliche,Πεπόνια και παρόμοια,Melones y similares,Meloni e simili,Meloenen en soortgelijke,Melony i podobne,Melone in podobno
A00LD,Escaroles and similar-,Endiviesalat og lignende,Endivien und ähnliche,Αντίδια και παρόμοια,Escarolas y similares,Scarole e simili,Andijvie en soortgelijke,Endywia i podobne,Endivija in podobno
A00LK,Cresses,Karse,Kresse,Κάρδαμο,Berros,Crescione,Tuinkers,Rzeżucha,Kreša
A00LM,Roman rocket and similar-,Rukola og lignende,Rucola und ähnliche,Ρόκα και παρόμοια,Rúcula y similares,Rucola e simili,Rucola en soortgelijke,Rukola i podobne,Rukola in podobno
A00MA,Baby leaf crops (including brassica species) and similar-,Babyblader og lignende,Babyblattsalate und ähnliche,Μικρόφυλλα λαχανικά και παρόμοια,Brotes tiernos y similares,Insalatine e simili,Babyblad en soortgelijke,Młode liście i podobne,Mladi listi in podobno
A00MH,Spinaches and similar-,Spinat og lignende,Spinat und ähnliche,Σπανάκι και παρόμοια,Espinacas y similares,Spinaci e simili,Spinazie en soortgelijke,Szpinak i podobne,Špinača in podobno
A00MN,Purslanes and similar-,Portulakk og lignende,Portulak und ähnliche,Γλιστρίδα και παρόμοια,Verdolagas y similares,Portulaca e simili,Postelein en soortgelijke,Portulaka i podobne,Portulak in podobno
A00NC,Watercresses and similar-,Brønnkarse og lignende,Brunnenkresse und ähnliche,Νεροκάρδαμο και παρόμοια,Berros de agua y similares,Crescione d'acqua e simili,Waterkers en soortgelijke,Rukiew wodna i podobne,Vodna kreša in podobno
A00NF,Other lettuces and salad plants,Andre salater,Andere Salate,Άλλα μαρούλια και σαλατικά,Otras lechugas y ensaladas,Altre lattughe e insalate,Overige sla en slasoorten,Inne sałaty i warzywa sałatowe,Druge solate in solatnice
A00PC,Beans (with pods) and similar-,Bønner med belg og lignende,Bohnen mit Hülsen und ähnliche,Φασόλια με λοβό και παρόμοια,Judías con vaina y similares,Fagiolini e simili,Bonen met peul en soortgelijke,Fasola w strąkach i podobne,Fižol s strokom in podobno
A00PX,Peas (with pods) and similar-,Erter med belg og lignende,Erbsen mit Hülsen und ähnliche,Αρακάς με λοβό και παρόμοια,Guisantes con vaina y similares,Piselli con baccello e simili,Erwten met peul en soortgelijke,Groch w strąkach i podobne,Grah s strokom in podobno
A00QT,Radishes and similar-,Reddiker og lignende,Radieschen und ähnliche,Ραπανάκια και παρόμοια,Rábanos y similares,Ravanelli e simili,Radijzen en soortgelijke,Rzodkiewki i podobne,Redkvice in podobno
A00SR,Mung bean sprouts,Mungbønnespirer,Mungbohnensprossen,Φύτρα φασολιού μονγκ,Brotes de soja verde,Germogli di soia verde,Taugé,Kiełki fasoli mung,Kalčki mungo fižola
A00TD,Wild fungi and similar-,Ville sopper og lignende,Wildpilze und ähnliche,Άγρια μανιτάρια και παρόμοια,Setas silvestres y similares,Funghi selvatici e simili,Wilde paddenstoelen en soortgelijke,Grzyby dziko rosnące i podobne,Divje gobe in podobno
A00TP,Cultivated fungi and similar-,Dyrkede sopper og lignende,Zuchtpilze und ähnliche,Καλλιεργημένα μανιτάρια και παρόμοια,Setas cultivadas y similares,Funghi coltivati e simili,Gekweekte paddenstoelen en soortgelijke,Grzyby uprawne i podobne,Gojene gobe in podobno
A00VK,Brown algae,Brunalger,Braunalgen,Καφέ φύκια,Algas pardas,Alghe brune,Bruine algen,Algi brunatne,Rjave alge
A00XC,Chives and similar-,Gressløk og lignende,Schnittlauch und ähnliche,Σχοινόπρασο και παρόμοια,Cebollino y similares,Erba cipollina e simili,Bieslook en soortgelijke,Szczypiorek i podobne,Drobnjak in podobno
A00ZB,Preserved tomatoes not concentrated,Hermetiske tomater ikke konsentrert,Tomatenkonserven nicht konzentriert,Ντομάτες κονσέρβας μη συμπυκνωμένες,Tomate en conserva no concentrado,Pomodori conservati non concentrati,Tomaten in blik niet geconcentreerd,Pomidory konserwowe nieskoncentrowane,Konzervirani paradižnik nekoncentriran
A00ZE,Preserved concentrated tomatoes,Tomatkonsentrat,Tomatenmark,Ντοματοπελτές,Concentrado de tomate,Concentrato di pomodoro,Tomatenconcentraat,Koncentrat pomidorowy,Paradižnikov koncentrat
A00ZG,Sun-dried tomatoes,Soltørkede tomater,Getrocknete Tomaten,Λιαστές ντομάτες,Tomates secos,Pomodori secchi,Zongedroogde tomaten,Pomidory suszone,Sušeni paradižnik
A00ZJ,Pickled / marinated vegetables,Syltede grønnsaker,Eingelegtes Gemüse,Τουρσί λαχανικών,Verduras en conserva o encurtidas,Verdure sott'aceto o marinate,Ingemaakte groenten,Warzywa marynowane,Vložena zelenjava
A00ZQ,Dried vegetables,Tørkede grønnsaker,Getrocknetes Gemüse,Αποξηραμένα λαχανικά,Verduras deshidratadas,Verdure essiccate,Gedroogde groenten,Warzywa suszone,Sušena zelenjava
A011C,Dried potato products,Tørkede potetprodukter,Getrocknete Kartoffelerzeugnisse,Αποξηραμένα προϊόντα πατάτας,Productos de patata deshidratados,Prodotti di patate essiccati,Gedroogde aardappelproducten,Suszone produkty ziemniaczane,Sušeni krompirjevi izdelki
A011F,Potato starch,Potetstivelse,Kartoffelstärke,Άμυλο πατάτας,Almidón de patata,Fecola di patate,Aardappelzetmeel,Skrobia ziemniaczana,Krompirjev škrob
A011J,Tapioca starch,Tapiokastivelse,Tapiokastärke,Άμυλο ταπιόκας,Almidón de tapioca,Amido di tapioca,Tapiocazetmeel,Skrobia z tapioki,Tapiokin škrob
A011L,Potato crisps or sticks,Potetgull og pinner,Kartoffelchips und -sticks,Πατατάκια,Patatas fritas de bolsa,Patatine in busta,Chips en aardappelsticks,Chipsy i paluszki ziemniaczane,Krompirjev čips in palčke
A011T,Potato starch-based snacks,Snacks av potetstivelse,Snacks aus Kartoffelstärke,Σνακ αμύλου πατάτας,Aperitivos de almidón de patata,Snack a base di fecola di patate,Snacks van aardappelzetmeel,Przekąski ze skrobi ziemniaczanej,Prigrizki iz krompirjevega škroba
A011V,Tapioca starch-based snacks,Snacks av tapiokastivelse,Snacks aus Tapiokastärke,Σνακ αμύλου ταπιόκας,Aperitivos de almidón de tapioca,Snack a base di amido di tapioca,Snacks van tapiocazetmeel,Przekąski ze skrobi z tapioki,Prigrizki iz tapiokinega škroba
A011Z,Beans (fresh seeds without pods) and similar-,Bønner uten belg og lignende,Bohnen ohne Hülsen und ähnliche,Φασόλια χωρίς λοβό και παρόμοια,Judías sin vaina y similares,Fagioli sgranati e simili,Bonen zonder peul en soortgelijke,Fasola bez strąków i podobne,Fižol brez stroka in podobno
A012G,Peas (without pods) and similar-,Erter uten belg og lignende,Erbsen ohne Hülsen und ähnliche,Αρακάς χωρίς λοβό και παρόμοια,Guisantes sin vaina y similares,Piselli sgranati e simili,Erwten zonder peul en soortgelijke,Groch bez strąków i podobne,Grah brez stroka in podobno
A012R,Pulses (dried legume seeds),Tørkede belgfrukter,Hülsenfrüchte getrocknet,Όσπρια αποξηραμένα,Legumbres secas,Legumi secchi,Peulvruchten gedroogd,Nasiona roślin strączkowych suszone,Suhe stročnice
A012S,Beans (dry) and similar-,Tørkede bønner og lignende,Getrocknete Bohnen und ähnliche,Ξηρά φασόλια και παρόμοια,Judías secas y similares,Fagioli secchi e simili,Gedroogde bonen en soortgelijke,Fasola sucha i podobne,Suh fižol in podobno
A014C,Tree nuts,Nøtter,Schalenfrüchte,Ξηροί καρποί δέντρων,Frutos secos de cáscara,Frutta a guscio,Noten,Orzechy,Lupinarji
A014P,Pine nut kernels and similar-,Pinjekjerner og lignende,Pinienkerne und ähnliche,Κουκουνάρι και παρόμοια,Piñones y similares,Pinoli e simili,Pijnboompitten en soortgelijke,Orzeszki piniowe i podobne,Pinjole in podobno
A015F,Oilseeds,Oljefrø,Ölsaaten,Ελαιούχοι σπόροι,Semillas oleaginosas,Semi oleosi,Oliehoudende zaden,Nasiona oleiste,Oljna semena
A016D,Other seeds (including elsewhere non-listed oilseeds and other seeds),Andre frø,Andere Samen,Άλλοι σπόροι,Otras semillas,Altri semi,Overige zaden,Inne nasiona,Druga semena
A016T,Dried herbs,Tørkede urter,Getrocknete Kräuter,Αποξηραμένα βότανα,Hierbas secas,Erbe essiccate,Gedroogde kruiden,Zioła suszone,Sušena zelišča
A016Y,"Basil, dry",Tørket basilikum,Getrocknetes Basilikum,Βασιλικός αποξηραμένος,Albahaca seca,Basilico essiccato,Gedroogde basilicum,Bazylia suszona,Sušena bazilika
A017G,"Marjoram, dry",Tørket merian,Getrockneter Majoran,Ματζουράνα αποξηραμένη,Mejorana seca,Maggiorana essiccata,Gedroogde marjolein,Majeranek suszony,Sušen majaron
A017J,"Rosemary, dry",Tørket rosmarin,Getrockneter Rosmarin,Δεντρολίβανο αποξηραμένο,Romero seco,Rosmarino essiccato,Gedroogde rozemarijn,Rozmaryn suszony,Sušen rožmarin
A018Y,"Peppercorn (black, green and white) and similar-",Pepperkorn og lignende,Pfefferkörner und ähnliche,Κόκκοι πιπεριού και παρόμοια,Granos de pimienta y similares,Grani di pepe e simili,Peperkorrels en soortgelijke,Ziarna pieprzu i podobne,Poprova zrna in podobno
A019K,"Peppers, dried",Tørket chili,Getrocknete Paprika,Πιπεριές αποξηραμένες,Pimientos secos,Peperoncini essiccati,Gedroogde pepers,Papryka suszona,Sušena paprika
